media_id,comment_count,like_count,caption_text,accessibility_caption,taken_at,Translated caption_text
3365945070610468950,256,11243,"So proud of Eden for what she accomplished on and off the stage. She is such an example of courage and composure. I love you,Eden. 
#edengolan #eurovision #wewilldanceagain",,2024-05-11 17:01:50-0700,"So proud of Eden for what she accomplished on and off the stage. She is such an example of courage and composure. I love you,Eden. 
#edengolan #eurovision #wewilldanceagain"
3370373456552116949,1,122,"This is FIVE!

Five.

#birthdayboy #five #fiveyearsold",,2024-05-17 19:37:27-0700,"This is FIVE!

Five.

#birthdayboy #five #fiveyearsold"
3377811447067238992,54,875,"דג בורי מטוגן לצד מטבל אריסה✨

את הדג הזה אמא שלי מכינה קבוע בחג שבועות .
ולמה ? כי אצלינו לא כולם אוהבים חלבי
בעיקר המבוגרים יותר
אז בשולחן החג תמיד יהיו לנו מנות דג לצד מנות חלביות חגיגיות

מצרכים:
6 פילה דג בורי ישראלי טרי חתוך לקוביות גסות ללא עור

לבלילת הקמח-
2 כוסות קמח
מלח
פלפל
כפית פפריקה גרוסה

לבלילת הביצים-
4 ביצים
חצי צרור כוסברה קצוצה 
מלח
פלפל

אופן הכנה:
נערבב את כל מרכיבי הקמח יחד ונצפה את כל הדגים היטב
נעביר לבלילת הביצים ונטגן בשמן חצי עמוק עד להזהבה יפה משני הצדדים.

למטבל-
חצי צרור כוסברה טרייה
4 שיני שום כתושות
כף גדושה אריסה
מלח
כפית כמון
רבע כוס חומץ
רבע כוס שמן
חצי כוס מים

נערבב היטב ונגיש לצד הדגים ופרוסות לימון טריות

בתאבון וחג שמח🫶🏻❤️

בשיתוף @israelifreshfish 
#דגישראליטרי",,2024-05-28 01:58:17-0700,"Fried mullet fish alongside Arisa dip✨

My mother regularly prepares this fish on Shavuot.
and why? Because with us, not everyone likes dairy
especially the older ones
So at the holiday table we will always have fish dishes alongside festive dairy dishes

Ingredients:
6 fresh Israeli mullet fish fillet cut into rough cubes without skin

for the flour batter-
2 cups of flour
Salt
pepper
A teaspoon of ground paprika

For the egg batter-
4 eggs
Half a bunch of chopped cilantro 
Salt
pepper

preparation method:
Mix all the flour ingredients together and coat all the fish well
Transfer to the egg batter and fry in semi-deep oil until nicely golden on both sides.

for dip-
Half a bunch of fresh coriander
4 crushed garlic cloves
A heaping spoonful of Arisa
Salt
A teaspoon of cumin
A quarter cup of vinegar
A quarter cup of oil
Half a glass of water

Mix well and serve alongside the fish and fresh lemon slices

Bon appetit and happy holidays 🫶🏻❤️

In collaboration with @israelifreshfish 
#DagIsraelitary"
3378117133513102595,98,20224,אוקיי מוד,,2024-05-28 12:02:47-0700,ok mod
3348791492540581199,655,88773,"Caszh vibes ftw. Wamiqa Gabbi seen at a production office in Santacruz for a meeting
.
#voompla #bollywood #wamiqagabbi",,2024-04-18 01:00:20-0700,"Caszh vibes ftw. Wamiqa Gabbi seen at a production office in Santacruz for a meeting
.
#voompla #bollywood #wamiqagabbi"
3373864281388087795,462,155737,💜 @bvlgari #BvlgariThailand #Bvlgari #BvlgariHighJewelry #EternallyReborn #BvlgariAeterna,,2024-05-22 15:13:05-0700,💜 @bvlgari #BvlgariThailand #Bvlgari #BvlgariHighJewelry #EternallyReborn #BvlgariAeterna
3354092614814301495,72,76645,🕊️🤍✨,,2024-04-25 08:34:35-0700,
3366695682005754749,16,19252,"Kallalo daagi unnaa.. 
.
.
.
.
.
.
#telugusong 
#lovesong 
#statusvideo 
#lyricedit 
#instagram 
#reelitfeelit",,2024-05-12 17:50:41-0700,"Kallalo daagi unnaa.. 
.
.
.
.
.
.
#telugusong 
#lovesong 
#statusvideo 
#lyricedit 
#instagram 
#reelitfeelit"
3374325507039493933,41,888,"אחת ההודעות שאני מקבלת הכי הרבה מנפגעי ונפגעות פגיעה מינית זה שהם באמת לא האמינו שאפשר לחיות חיים טובים, שלמים ושלווים אחרי הפגיעה ורק אחרי ששמעו את הפודקאסט שלי הם גילו שיש דרך אחרת. אז אם גם את/ה חוויתם את זה - אני כאן כדי להגיד לכם: יש דרך אחרת. יש דרך לחיים מדהימים גם אחרי פגיעה. פרק 38 בפודקאסט שלי ״נפש לוחמת״ זמין להאזנה בכל פלטפורמות הפודקאסט.",,2024-05-23 06:32:42-0700,"One of the messages I get the most from victims of sexual assault is that they really didn't believe it was possible to live a good, complete and peaceful life after the assault and only after listening to my podcast did they discover there was another way. So if you have also experienced this - I am here to tell you: there is another way. There is a way to an amazing life even after an injury. Episode 38 of my podcast ""Warrior Spirit"" is available for listening on all podcast platforms."
3352669448509680442,262,502922,"Bunny Milk in the pink containers 😱🩷!! 
Only a limited amount of peep scented milkyskin will be available Saturday at 2pm CST 🐰☺️

#viral #explorepage #trending #explore #instagram #tiktok #love #like #follow #instagood #likeforlikes #memes #popular #followforfollowback #lotion #viralvideos #lfl #photography #likes #viralpost #milkyskin  #instadaily #lotion #skincare #model #cute #k #skin #foryou #beauty #milkymist",,2024-04-23 09:24:52-0700,"Bunny Milk in the pink containers 😱🩷!! 
Only a limited amount of peep scented milkyskin will be available Saturday at 2pm CST 🐰☺️

#viral #explorepage #trending #explore #instagram #tiktok #love #like #follow #instagood #likeforlikes #memes #popular #followforfollowback #lotion #viralvideos #lfl #photography #likes #viralpost #milkyskin  #instadaily #lotion #skincare #model #cute #k #skin #foryou #beauty #milkymist"
3378039015004803494,95,3243,"Let’s raise the frequency 
#alleyesonrafa

#unwomenforallwomen @unwomen_forallwomen",,2024-05-28 09:27:32-0700,"Let’s raise the frequency 
#alleyesonrafa

#unwomenforallwomen @unwomen_forallwomen"
3377246724996496310,119,6536,"Beautifully said. 
@sephardicsoul",,2024-05-27 07:13:24-0700,"Beautifully said. 
@sephardicsoul"
3377300954451885588,1,9,"Honoring the brave souls who gave their all for our freedom. Today commemorates all of those who lost their lives defending this country. This Memorial Day, we remember their sacrifice and cherish their legacy.",,2024-05-27 09:01:12-0700,"Honoring the brave souls who gave their all for our freedom. Today commemorates all of those who lost their lives defending this country. This Memorial Day, we remember their sacrifice and cherish their legacy."
3377737732643123893,26,879,"Daily reminder for @gantzbe , they are still not home!
🎗 // ‼️
 תזכורת יומית ל @gantzbe הם עדיין לא בבית!

#bringthemhome #bringthemhomenow 
@bringhomenow 
@bringthemhome23",,2024-05-27 23:28:57-0700,"Daily reminder for @gantzbe, they are still not home!
🎗 // ‼️
 Daily reminder to @gantzbe they are not home yet!

#bringthemhome #bringthemhomenow 
@bringhomenow 
@bringthemhome23"
3378123652141578978,8,996,Credit @diplo.act #bringthemhomenow #bringthemhome #realesethehostagesnow,,2024-05-28 12:15:42-0700,Credit @diplo.act #bringthemhomenow #bringthemhome #realesethehostagesnow
3377683450230871207,5,46,,,2024-05-27 21:41:06-0700,
3378281692920276232,82,3177,Nothing like seeing @jerryseinfeld express what we all feel. Without words. 🇮🇱💙 thank you @bariweiss,,2024-05-28 17:31:25-0700,Nothing like seeing @jerryseinfeld express what we all feel. Without words. 🇮🇱💙 thank you @bariweiss
3378131705448034029,28,2786,Holding space for the eyeball community during this very difficult time 😔🙏🏻,,2024-05-28 12:31:42-0700,Holding space for the eyeball community during this very difficult time 😔🙏🏻
3324123176496620051,4219,378528,"PeeCee’s in Mumbaaaai! Everyone was kinda expecting to see her at the Jam-glam-Nagar extravaganza but she gave that a miss. Strutting into a luxe mall in BKC for a store launch!
FOLLOW 👉 @voompla
INQUIRIES 👉 @ppbakshi
.
#voompla #bollywood #priyankachopra",,2024-03-15 00:08:14-0700,"PeeCee’s in Mumbaaaai! Everyone was kinda expecting to see her at the Jam-glam-Nagar extravaganza but she gave that a miss. Strutting into a luxe mall in BKC for a store launch!
FOLLOW 👉 @voompla
INQUIRIES 👉 @ppbakshi
.
#voompla #bollywood #priyankachopra"
3361791899561308849,0,81,"׳Jude - זכרם חקוק בליבנו׳
לזכר נספי השואה
Jude - Their memory is engraved in our hearts
Holocaust Remembrance Day 2024 
.
.
.
.
#holocaust #יוםהשואה #איורישראלי #illustration #illustrationartists #heart #heartdrawing #jude #jewish #holocaustremembranceday #sigaluna",,2024-05-05 23:27:25-0700,"'Jude - their memory is engraved in our hearts'
In memory of the victims of the Holocaust
Jude - Their memory is engraved in our hearts
Holocaust Remembrance Day 2024 
.
.
.
.
#holocaust #יוםהשואה #איורישראלי #illustration #illustrationartists #heart #heartdrawing #jude #jewish #holocaustremembranceday #sigaluna"
3376524416505077577,148,7272,"مغزم کل روز😮‍💨🪩:

Song: @artmiross @poo_bon 

.

#دنس #آرتا #پوبون",,2024-05-26 07:19:55-0700,"My brain all day😮‍💨🪩:

Song: @artmiross @poo_bon 

.

#Dance #Arta #Pobon"
3377967022367646422,178,25045,נבדק מדעית,,2024-05-28 07:04:30-0700,Scientifically tested
3378125944244669379,0,526,"In case you didn’t know:
You could fit all the planets between the Earth and the Moon

The average distance from the Earth to the Moon is 384,400 km. And check it out, that leaves us with 4,392 km to spare.

So what could we do with the rest of that distance? Well, we could obviously fit Pluto into that slot. It’s around 2,300 km across. Which leaves us about 2,092 km to play with. We could fit one more dwarf planet in there (not Eris though, too big).
Via @astronovation",,2024-05-28 12:20:15-0700,"In case you didn’t know:
You could fit all the planets between the Earth and the Moon

The average distance from the Earth to the Moon is 384,400 km. And check it out, that leaves us with 4,392 km to spare.

So what could we do with the rest of that distance? Well, we could obviously fit Pluto into that slot. It’s around 2,300 km across. Which leaves us about 2,092 km to play with. We could fit one more dwarf planet in there (not Eris though, too big).
Via @astronovation"
3369121643856396691,104,30406,"Tag that girl ❤
Follow @sreeleelas_.world
.
(support needed) hit a ❤️ and comments must
.
Please support and do follow @sreeleelas_.world
.
sᴛsʏ ᴛᴜʀɴᴇᴅ ғᴏʀ ᴍᴏʀᴇ ᴛʀᴀᴄᴋs.ʟɪᴋᴇ,ᴄᴏᴍᴍᴇɴᴛ ᴀɴᴅ ᴘʟᴇᴀsᴇ ᴅᴏɴ'ᴛ ғᴏʀɢᴇᴛ ᴛᴏ sʜᴀʀᴇ
.
⭕ᴛʜɪs ᴘʜᴏᴛᴏ,ᴠɪᴅᴇᴏ ᴏʀ ᴀᴜᴅɪᴏ ɪs ɴᴏᴛ ᴏωɴᴇᴅ ʙʏ ᴍʏsᴇʟғ
.
⭕ᴛʜᴇ ᴄᴏᴘʏʀɪɢʜᴛ ᴄʀɪᴅᴇᴛs ɢᴏᴇs ᴛᴏ ʀᴇsᴘᴇᴄᴛɪᴠᴇ ᴏωɴᴇʀs
.
⭕ᴛʜɪs ᴠɪᴅᴇᴏ ɪs ᴘᴜʀʟʏ ғᴀɴ ᴍᴀᴅᴇ
.
⭕ᴛʜɪs ᴠɪᴅᴇᴏ ɪs ɴᴏᴛ ᴜsᴇᴅ ғᴏʀ ɪʟʟᴇɢᴀʟ sʜᴀʀɪɴɢ ᴀɴᴅ ᴘʀᴏғɪᴛ ᴍᴀᴋɪɴɢ
.
⭕ɴᴏ ɴᴇᴇᴅ ᴛᴏ ʀᴇᴘᴏʀᴛ ᴏʀ sᴛʀɪᴋᴇ
.
ʜᴀsʜᴛᴀɢs
.
#whatsappstatus #telugulyrics #telugulyrical #lovevideos #statuswhatsapp #statusvideos #telugustatussongs #teluguwhatsappstatus #telugubgms #telugubgm #telugubeats #telugulovebeat #beatsheadphones #exploremore #telugustatus #explorepage #trending",,2024-05-16 02:11:20-0700,"Tag that girl ❤
Follow @sreeleelas_.world
.
(support needed) hit a ❤️ and comments must
.
Please support and do follow @sreeleelas_.world
.
sᴛsʏ ᴛᴜʀɴᴇᴅ ғᴏʀ ᴍᴏʀᴇ ᴛʀᴀᴄᴋs.ʟɪᴋᴇ,ᴄᴏᴍᴍᴇɴᴛ ᴀɴᴅ ᴘʟᴇᴀsᴇ ᴅᴏɴ'ᴛ ғᴏʀɢᴇᴛ ᴛᴏ sʜᴀʀᴇ
.
⭕ᴛʜɪs ᴘʜᴏᴛᴏ,ᴠɪᴅᴇᴏ ᴏʀ ᴀᴜᴅɪᴏ ɪs ɴᴏᴛ ᴏωɴᴇᴅ ʙʏ ᴍʏsᴇʟғ
.
⭕ᴛʜᴇ ᴄᴏᴘʏʀɪɢʜᴛ ᴄʀɪᴅᴇᴛs ɢᴏᴇs ᴛᴏ ʀᴇsᴘᴇᴄᴛɪᴠᴇ ᴏωɴᴇʀs
.
⭕ᴛʜɪs ᴠɪᴅᴇᴏ ɪs ᴘᴜʀʟʏ ғᴀɴ ᴍᴀᴅᴇ
.
⭕ᴛʜɪs ᴠɪᴅᴇᴏ ɪs ɴᴏᴛ ᴜsᴇᴅ ғᴏʀ ɪʟʟᴇɢᴀʟ sʜᴀʀɪɴɢ ᴀɴᴅ ᴘʀᴏғɪᴛ ᴍᴀᴋɪɴɢ
.
⭕ɴᴏ ɴᴇᴇᴅ ᴛᴏ ʀᴇᴘᴏʀᴛ ᴏʀ sᴛʀɪᴋᴇ
.
ʜᴀsʜᴛᴀɢs
.
#whatsappstatus #telugulyrics #telugulyrical #lovevideos #statuswhatsapp #statusvideos #telugustatussongs #teluguwhatsappstatus #telugubgms #telugubgm #telugubeats #telugulovebeat #beatsheadphones #exploremore #telugustatus #explorepage #trending"
3377215979925491933,134,923,"Just over here living a life worthy of this Country and raising patriotic kids!! Our freedoms came at a price and we will always be grateful for those that sacrificed their lives so that we could be free-living in the greatest Country in the world! We will never take it for granted. Sending love and respect to all of our fallen soldiers and their families 🙏🏽🇺🇸🇺🇸🇺🇸
#memorialday #memorialdayweekend #usa #american #patriot #supportthemilitary #supportthetroops #fallensoldiers #americansoldier #somegaveall #lifelibertyandthepursuitofhappiness",,2024-05-27 06:12:19-0700,"Just over here living a life worthy of this Country and raising patriotic kids!! Our freedoms came at a price and we will always be grateful for those that sacrificed their lives so that we could be free-living in the greatest Country in the world! We will never take it for granted. Sending love and respect to all of our fallen soldiers and their families 🙏🏽🇺🇸🇺🇸🇺🇸
#memorialday #memorialdayweekend #usa #american #patriot #supportthemilitary #supportthetroops #fallensoldiers #americansoldier #somegaveall #lifelibertyandthepursuitofhappiness"
3378104811326185365,129,29489,"Forbes girls 💜💜
@Hofitgolanofficial x @victoriabonya x #frobes 
It’s become at #cannesfilmfestival tradition to be celebrate the film festival with @forbes @forbes_fr 
Love how we matched the colours of our dresses without even planning. That’s what happens after so many years for friendship!

После стольких лет дружбы с Hofit я даже не удивляюсь тому, что мы постоянно совпадаем цветами в одежде, даже не сговариваясь ☺️ @@hofitgolanofficial @victoriabonya 💜💜",,2024-05-28 11:38:16-0700,"Forbes girls 💜💜
@Hofitgolanofficial x @victoriabonya x #frobes 
It’s become at #cannesfilmfestival tradition to be celebrate the film festival with @forbes @forbes_fr 
Love how we matched the colors of our dresses without even planning. That’s what happens after so many years for friendship!

After so many years of friendship with Hofit, I’m not even surprised that we constantly match the colors in our clothes, without even talking ☺️ @@hofitgolanofficial @victoriabonya 💜💜"
3372216126664790861,36,438,@aaisha_malik009,,2024-05-20 08:38:30-0700,@aaisha_malik009
3375911085620539365,39,3080,"it’s the middle of exams rn 😵‍💫 // edit idea: me 
✯ 𝒎𝒚 𝒒𝒖𝒂𝒍𝒊𝒕𝒚 & 𝒄𝒐𝒍𝒐𝒖𝒓𝒊𝒏𝒈 𝒊𝒔 𝒊𝒏 𝒎𝒚 𝒃𝒊𝒐 ✯

── ⋆⋅☆⋅⋆ ──

#blackpink #blackpinkedit #blackpinkedits #roseedit #rosé #parkchaeyoung #rose #roseblackpink #jisoo #jisooedit #kimjisoo #jisooblackpink #jennie #jennierubyjane #jennieblackpink #jennieedit #lisa #lisaedit #lalisa #lisablackpink #lalisamanoban #kpop #اكسبلور #explore #reels #jmnicty",,2024-05-25 10:59:57-0700,"it’s the middle of exams rn 😵‍💫 // edit idea: me 
✯ 𝒎𝒚 𝒒𝒖𝒂𝒍𝒊𝒕𝒚 & 𝒄𝒐𝒍𝒐𝒖𝒓𝒊𝒏𝒈 𝒊𝒔 𝒊𝒏 𝒎𝒚 𝒃𝒊𝒐 ✯

── ⋆⋅☆⋅⋆ ──

#blackpink #blackpinkedit #blackpinkedits #roseedit #rosé #parkchaeyoung #rose #roseblackpink #jisoo #jisooedit #kimjisoo #jisooblackpink #jennie #jennierubyjane #jennieblackpink #jennieedit #lisa #lisaedit #lalisa #lisablackpink #lalisamanoban #kpop #اكسبلور #explore #reels #jmnicty"
3375180523368536439,1034,412239,#keşfetteyiz #bebek #reelsinstagram #reelsvideo #bebekresimleri #kesfet,,2024-05-24 10:49:02-0700,#weareexploring #baby #reelsinstagram #reelsvideo #babypictures #explore
3372912890392765112,30,698793,"Not the best season for me personally, things didn’t go as i planned, but i couldn’t be prouder of the team i’m part of. This group is amazing and we’re showing that season after season. Now it’s time to rest and prepare to be healthier next season. We’ll be back stronger and ready for it! Let’s go, Gunners! 💪🏾🤙🏾",,2024-05-21 07:42:51-0700,"Not the best season for me personally, things didn’t go as i planned, but i couldn’t be prouder of the team i’m part of. This group is amazing and we’re showing that season after season. Now it’s time to rest and prepare to be healthier next season. We’ll be back stronger and ready for it! Let’s go, Gunners! 💪🏾🤙🏾"
3373645805549620630,223,915,"Fit check 🖤 

•

•

•
#preppyoutfit #minimalfashionstyleinspo #minimalaesthetic #elevatedbasics #girlyoutfit #parisianchic #parisianstyle #oldmoneyaesthetic",,2024-05-22 07:59:01-0700,"Fit check 🖤 

•

•

•
#preppyoutfit #minimalfashionstyleinspo #minimalaesthetic #elevatedbasics #girlyoutfit #parisianchic #parisianstyle #oldmoneyaesthetic"
3373426302083189316,7,166,"🖤

.
#aimankhan #aimanminal #sajalaly #sanajaved #cutegirls #islamabad #karachi #lahore #pakistani #love #fashion #pakistanifashion #multan",,2024-05-22 00:42:54-0700,"🖤

.
#aimankhan #aimanminal #sajalaly #sanajaved #cutegirls #islamabad #karachi #lahore #pakistani #love #fashion #pakistanifashion #multan"
3376551558708791613,0,3,"Did you know?
#viral #explore #beer",,2024-05-26 08:12:14-0700,"Did you know?
#viral #explore #beer"
3322298982552867488,33308,4521206,"3 min en scène VS 3 semaines de travail 🥵

En arrivant à l’ @opera_comique j’avais comme mission de trouver comment vieillir les deux solistes sur scène à vue, l’idée était que plus le temps passe, plus les cheveux et poils poussent.
Il fallait trouver un moyen simple pour qu’ils puissent se mettre les perruques et postiches seuls sous le regard du public. Après beaucoup de réflexion et sous les conseils d’ @amelie_lecul , nous avons opté pour le système à aimants. Chaque élément vient s’aimanter à l’autre de manière très simple. 
Mais, pour que tout soit simple visuellement, on s’est heurté à beaucoup de questionnements : Comment placer les aimants ? Combien ? Comment faire la jonction entre chaque postiche ? ..

Il a fallut 3 semaines de travail en atelier pour fabriquer ces éléments de vieillissement. Chaque perruque et postiches ont été fabriqués sur mesure pour notre soliste @stephane.degout, les couleurs ont été minutieusement réfléchies, la coupe également, tout a été pensé pour qu’il puisse le plus simplement poser ces éléments sur lui, sans miroir. 

Un grand merci à mon équipe d’atelier, sans qui rien aurait été possible ! ✨
Perruque : @deborahwigmaker 
Barbe 1 :  @nell_cvr 
Toupet court : @artist_wig 
Barbe 2 : @corinne.blot.mua 
Toupet long : @charlenewigmakeup_ 
Barbe 3 : @___nnine___ 

Sans oublier @wysi_wig qui s’est occupé des postiches de @siobhanstagg, merci pour ton travail 🫶🏻

L’autre Voyage de Schubert
Direction musicale Raphaël Pichon • Mise en scène et décors Silvia Costa • Costumes Laura Dondoli • Avec Stéphane Degout, Siobhan Stagg, Laurence Kilsby, Chadi Lazreq • Orchestre et Chœur Pygmalion • Chœur d’enfants Maîtrise Populaire de l’Opéra-Comique",,2024-03-12 11:43:10-0700,"3 min on stage VS 3 weeks of work 🥵

When I arrived at the @opera_comique my mission was to find out how to age the two soloists on stage visually, the idea was that the more time passes, the more hair grows.
We had to find a simple way so that they could put on their wigs and hairpieces alone in the public eye. After a lot of thought and under the advice of @amelie_lecul, we opted for the magnet system. Each element magnetizes to the other in a very simple way. 
But, to keep everything visually simple, we faced a lot of questions: How to place the magnets? How much ? How to connect each hairpiece? ..

It took 3 weeks of work in the workshop to manufacture these aging elements. Each wig and hairpiece were custom-made for our soloist @stephane.degout, the colors were carefully thought out, the cut as well, everything was designed so that he could easily put these elements on himself, without a mirror. 

A big thank you to my workshop team, without whom nothing would have been possible! ✨
Wig: @deborahwigmaker 
Beard 1: @nell_cvr 
Short toupee: @artist_wig 
Beard 2: @corinne.blot.mua 
Long toupee: @charlenewigmakeup_ 
Beard 3: @___nnine___ 

Without forgetting @wysi_wig who took care of @siobhanstagg's hairpieces, thank you for your work 🫶🏻

Schubert's Other Journey
Musical direction Raphaël Pichon • Direction and sets Silvia Costa • Costumes Laura Dondoli • With Stéphane Degout, Siobhan Stagg, Laurence Kilsby, Chadi Lazreq • Orchestra and Pygmalion Choir • Children's choir Maîtrise Populaire de l'Opéra-Comique"
3376779843352730992,205,3378,"Ariel Bibas 💔

Lag Baomer, 2023, Nir Oz. 

Exactly one year ago. 

#LetThemGoNow 🎗️
Via @stateofisrael","Photo shared by Jewish Life Now®️ Created by Cindy Saltzman on May 26, 2024 tagging @stateofisrael. May be an image of 1 person, child, pie and picnic.",2024-05-26 15:45:47-0700,"Ariel Bibas - The Best Of Ariel Bibas

Lag Baomer, 2023, Near Oz. 

Exactly one year ago. 

#LetThemGoNow 🎗️
Via @stateofisrael"
3375298107645958831,3,37,"We’re thrilled to announce the next episode of The Closet podcast, featuring the incredible Aton Ben-Horin! 🎶✨ Aton is the Global VP of A&R for Warner Music Group, overseeing labels like Atlantic Records and Warner Bros. Records. He’s also the owner of Plush Recording Studios, CEO of Plush Management LLC, and a founding partner of The Agency.

Join us for an intimate conversation about his journey, insights into the music industry, and much more. Don’t miss this inspiring episode!

🎧 Subscribe now and be the first to listen on Apple Podcasts, Spotify, or wherever you get your podcasts.

Stay tuned and follow @closet_podcast for updates!",,2024-05-24 14:41:51-0700,"We’re thrilled to announce the next episode of The Closet podcast, featuring the incredible Aton Ben-Horin! 🎶✨ Aton is the Global VP of A&R for Warner Music Group, overseeing labels like Atlantic Records and Warner Bros. Records. He’s also the owner of Plush Recording Studios, CEO of Plush Management LLC, and a founding partner of The Agency.

Join us for an intimate conversation about his journey, insights into the music industry, and much more. Don’t miss this inspiring episode!

🎧 Subscribe now and be the first to listen on Apple Podcasts, Spotify, or wherever you get your podcasts.

Stay tuned and follow @closet_podcast for updates!"
3374307120277799317,32,648,Short thoughts from our trip,,2024-05-23 09:18:01-0700,Short thoughts from our trip
3375166055478801537,263,6974,"🕯️🕯️ #ShabbatShalom 
Video by: @hgeller120 for @ajc.global",,2024-05-24 10:21:21-0700,"🕯️🕯️ #ShabbatShalom 
Video by: @hgeller120 for @ajc.global"
3355918088624108564,1362,3,"Delicious Glutinous Rice Ball .

Ini dia salah satu jajanan enak yang menggiurkan buat jadi menu cemilan kapan aja nih. Selain teksturnya lembut tapi juga empuk lagi .

Nah yang buat makin menarik dan juga menggiurkan soalnya ini didalamnya juga ada isian coklat didalamnya. Mantap dan menggiurkan sekali buat jadi menu cemilan enak .

___
Inspiring ✨
📹tik.tok/foodmaker168 #gelatina",,2024-04-27 20:58:50-0700,"Delicious Glutinous Rice Balls .

This is one of the delicious snacks that is tempting to use as a snack menu at any time. Apart from the soft texture, it is also soft again.

Now what makes it even more interesting and tempting is because it also has chocolate filling inside. Delicious and very tempting to make a delicious snack menu.

___
Inspiring ✨
📹tik.tok/foodmaker168 #gelatina"
