3293201451135172000,89,35362,Thank you @ahlan.my.darlings for the powerful illustration ❤️🖤🤍💚,"Photo shared by Flyers for Falastin on February 01, 2024 tagging @ahlan.my.darlings."
3363295949320877225,3,3,"One Ummah, One Body !!!! 💔

Sahih al-Bukhari 6011
Narrated An-Nu`man bin Bashir:
Allah’s Messenger (ﷺ) said, “You see the believers as regards their being merciful among themselves and showing love among themselves and being kind, resembling one body, so that, if any part of the body is not well then the whole body shares the sleeplessness (insomnia) and fever with it.”",
3372787337736343438,83,6348,"‏ ‬‏يارب رحمتك 💔.
.
.
.

#اكسبلور #اكسبلور_فولو #fyp #fun",
3372227239062138193,1359,182848,بتقلي زاكي 😭😭😭💖,
3358985286582342286,65,11688,"Every month ends, the worst comes 😰",
3219870988458537899,21,4257,"“But we know too well that our freedom is incomplete without the freedom of the Palestinians"". This quote from Nelson Mandela comes from a speech he made during the International Day of Solidarity with the Palestinian People, Pretoria, South Africa, on 4th December 1997. Our freedom is not complete until all are free. End apartheid in Palestine.",
3376504752223752040,19,7132,"Thank you @vinco.a.volte for the powerful poster ❤️🖤🤍💚

DOWNLOAD ALL OF OUR POSTERS FOR FREE THROUGH THE LINK IN BIO",
3233385200243435486,123,11032,"Within our lifetimes, inshAllah",
3342794061814059521,2036,406499,"Follow us @hockeybenders for more! 🤣

#hockeyfail #hockeyboys #hockeylife #hockeybenders #hockeyfans #certifiedbeauty #hockeymoms #hockeyplayer #hockeygame #hockeytiktoks",
3351957874976255836,2,4789,#gazze #bırakmayacağız #vazgeçmeyeceğiz #palestine🇵🇸 #westay #westayhereforyou #gazzedeçocukolmak #gazzeyesahipçık #duvaryazıları,
3372428787917633204,16,6255,A mix of the Palestinian watermelon 🍉 and Malaysian hibiscus flower 🌺 by Malaysian artist @nanaayahya.art,
3374646690933406939,62,19727,We will never forget 🇵🇸,
3373006099345108794,83,4929,"تخيل إلنا 7 شهور بنقنع العالم إنه إحنا قاعدين بنموت ..💔
Just imagine, for 7 months, we’ve been trying to convince the world that we’re dying
By @abdalhkem_abu_riash",
3370889677772111874,194,51129,"🥹
📸- @sophia_henderson",
3324434743985231393,69,9049,"Thank you @hideo.ryuzaki for the powerful poster 🍉💚

DOWNLOAD ALL OF OUR POSTERS FOR FREE THROUGH THE LINK IN BIO",
3375097900437277822,5,353,"Keep sharing about Pali -
#share 
-
-
#world",
3362931851611369185,219,6211,"Voices stifled, yet resilient, we rise against the shadows that confine us on this platform. Let us unite, determined to break free from the chains of invisibility. Together, we can amplify the truth and strive for a fairer platform. Keep speaking up, for your words hold the power to inspire change.✌️🍉

 #BreakTheChains #AmplifyTheTruth #UnityInVoice",
3332683989473947085,2538,291391,"Zendaya debuted her new blonde hair at the @challengersmovie premiere in sydney today

Follow me please: @zendayavideo_
.
.
#zendaya #spidermanfarfromhome #spiderman #timothéechalamet #petermj #marvel #fanedit #explorepage #hollanders #zendayacoleman #euphoria #tomdayaedit #scream #ruebennett #michellejones #edit #tomhollandandzendaya #jennaortegaedit #spiderman #peterparker #petermj #omgpageedit #omgedit #tomdaya #zendayaedit #jennaortega #tomholland #challengersmovie #explorepage #fanedit #fanedits #zendayaupdate #zendayaedits #omgpageeditbn",
3325622860913037243,25,3,اكتب اسم مدينتك 🇵🇸,
3358462513081826465,150,10465,"""وما النصرُ إلا صبرُ ساعة""✌️🇵🇸
.
.
#palestine #gaza #freegaza",
3239518178403854919,82,11973,✊🏿✊🏿✊🏿✊🏿✊🏿 #FreeCongo,
3270611177590267908,73,18217,"It is something as essential as life itself. A new year, an eternal cause ❤️‍🩹 كل عام وهي اقرب للحرية. عام جديد قضية أزلية",
3374957577948409507,10589,907566,"📍Cannes thanks for the invitation🤗
Sizce yakışıklı olmuş muyum?😍🙈🤗
#czn #cznburak #turkey #türkiye #istanbul #qatar #doha #bahrain #lebanon #algeria #food #kebap #instafood #egypt #brazil #uzbekistan #taci̇ki̇stan #india #pakistan #iran #london #moscow #syria #palestine #spain #russia #vadistanbul #argentina #morocco",
3350269474795705444,7,3461,"🫀

Ve Kudüs şehri. Gökte yapılıp yere indirilen şehir..!

#kudüs #gazze #palestine🇵🇸",
3376345541551590897,6,3592,"Free Palestine, forever and ever 🇵🇸🤍

Artwork by Vridhhi C. (b.1995, Delhi) @vridhhi",
3285334546119578842,143,11675,"The Flag ✨ (1/3) My art friend @cherished.days suggested that we do some art on leaves and I finally got around to finishing mine ♥️💚🖤🤍
.
.
.
.
.
.
.
.
.
.
#flag #leafart #red #black #green #white #procreateart #ally #instagramart #freedom",
3373809638527917665,735,3,"She saved me from having a bad hair day. 🫶🏼
•
•
•
#photoshoot #engagement #nyc #coupleshoot #GandhiEverAfter #girlsgirl #wedding",
3375201034689374260,239,27794,""" كنت ألعب كورة انا وأصحابي انا ايدي انقطعت وهما ماتوا "" 
"" نفسي ايدي ترجع ، عشان أحمل لماما ميّه وآكل وأشرب "" 

I was playing football with my friends. My hands were cut off and they died
.
My wish is for my arm to come back , so that I can carry water for my mother and eat and drink
.
Art by @mohammed_alassar 🎨
.
.
Photo by @hani.aburezeq 
.
.
.
.
#palestine #gaza #savegaza #savepalestine #palestina #palestine🇵🇸 #freegaza #freepalestine #فلسطين #فلسطين🇵🇸 #غزة",
3309267775629386171,247,13784,❤️‍🩹🇵🇸❤️‍🩹🍉,
3376681387995483379,9,222,"A piece for my mothers birthday 

With a Diné poem",
3362053323968076883,37,4080,"Latest mural, next to Göransson Arena in Sandviken, Sweden. Long live the resistance! ❤️🏴✊🏼🍉
.
.
.
.
#mural #streetart #streetartgävle #protestart #a15art #spraystencil #stencilart #gatukonst #muralsforgaza #811 #811crew",
3369221335843689287,9319,740339,"First ever transparent bottom in flight ✈️ is a cgi video only. Concept art. 

#indigo #flight #indian #indiaairlines #aircraft",
3374740464953944334,6,313,One of the posters printed this past mother’s day in solidarity and memory of the Mothers of Falasteen. Artwork courtesy of @jeriahlau and @flyers_for_falastin,
3377402769248889839,39,6194,"ALL EYES ON G A Z A ‼️

By @mcgazaofficial",
3365071791818588627,0,496,@tarikakinworks,
3374385054800609136,9279,700235,"We concluded the Australia tour with 2 nights in Perth. Tough to say goodbye. I don’t think anyone on our team was ready to leave, myself included. I love you so much Australia. Already planning the next tour ❤️",
3350259996310476328,742,3,"They r so bestfriend code 🐇 
Hate comments will be deleted ok 
Be positive 😌💫

#sriyalenka #blackswan #xodiac #kpopdance #bestfriends #reelsinstagram #explorepage #trending #bts #kpop #kpopedit #viral #featured #feed #kpopidol",
3367337633351233069,8,154,"My name is Fatima Khadijah and I see a Free Palestine in my heart, in my mind, inshallah.",
3242171476652715000,60,13873,"Teruskan ambil tahu,
teruskan main peranan kita sebagai saudara mereka,
teruskan sebarkan tentang keadaan mereka,
teruskan apa yang dapat kita boleh tanamkan hati orang lain cinta mereka,

Semoga Allah memberikan kekuatan dan kesabaran buat mereka di sana.

Hasbunallah Wanik'mal wakil
❤️🖤🤍💚

#safuanmj #wahaidiri #israelcuak #malaysia #semogabermanfaat",
3364584110187204362,124,16184,"Most recent cover of @time magazine. 

I can’t wait to add this to the archives. 

The students are making important and necessary history that will change the trajectory of the future. 

🇵🇸❤️🇵🇸❤️🇵🇸❤️🇵🇸",
3376775303661224220,204,11272,"I can’t believe I’m making this post. It’s a surreal nightmare and real-life horror written with the worst amount of evil. In respect to the victims there will be no images posted here. ..
but I have them in case of “show me proof”.",
3375961573103867816,10781,86240,"Cannes Film Festival: You need to fire this woman! 

I completely understand the protocols of the red carpet. A lot of celebrities, you want to get them inside the theater, I get it. 

But that does not justify the actions of this woman. To put her hands on a guest that is attending the festival SHOULD NEVER HAPPEN. To put your hands on anyone should never happen. 

In this clip she is using force to make the Dominican actress, Massiel Taveras  go inside of the theater. Massiel Taveras is also not the first person that the same woman did this too. Kelly Rowland and Lim Yoona received the same treatment. 

Cannes Film Festival, people that you hire are the representation of your and your organization and situations like this should never happen. 

Video by SALADE UNIVERSE (found on @mediumsizemeech on X)",
3181371997001714716,40,7132,"I wander free, in a dream that won’t end.",
